嗚呼,ああ
心細い,こころぼそい
心細い,こころぼそい
試み,こころみ
試みる,こころみる
快い,こころよい
誤差,ごさ
御座います,ございます
孤児,こじ
拵える,こしらえる
拗れる,こじれる
梢,こずえ
小銭,こぜに
固体,こたい
古代,こだい
答え,こたえ
炬燵,こたつ
拘る,こだわる
ご馳走,ごちそう
ご馳走さま,ごちそうさま
誇張,こちょう
骨,こつ
国境,こっきょう
滑稽,こっけい
国交,こっこう
骨董品,こっとうひん
固定,こてい
毎,ごと
事柄,ことがら
孤独,こどく
悉く,ことごとく
言伝,ことづて
殊に,ことに
事によると,ことによると
粉々,こなごな
此の,この
この間,このあいだ
この頃,このごろ
好ましい,このましい
碁盤,ごばん
ご無沙汰,ごぶさた
個別,こべつ
零す,こぼす
零れる,こぼれる
コマーシャル,コマーシャル
誤魔化す,ごまかす
細やか,こまやか
コミュニケーション,コミュニケーション
込む,こむ
込める,こめる
ご免ください,ごめんください
コメント,コメント
御免なさい,ごめんなさい
籠もる,こもる
籠もる,こもる
籠もる,こもる
固有,こゆう
雇用,こよう
暦,こよみ
御覧なさい,ごらんなさい
孤立,こりつ
懲りる,こりる
此れ,これ
これ等,これら
魂,こん
根気,こんき
根拠,こんきょ
混血,こんけつ
混血,こんけつ
根源,こんげん
コンタクト,コンタクト
昆虫,こんちゅう
根底,こんてい
根底,こんてい
コンテスト,コンテスト
混同,こんどう
コントラスト,コントラスト
コントロール,コントロール
今日は,こんにちは
コンパス,コンパス
今晩は,こんばんは
再,さい
差異,さい
財,ざい
財,ざい
再会,さいかい
災害,さいがい
細菌,さいきん
細工,さいく
採掘,さいくつ
サイクル,サイクル
採決,さいけつ
再建,さいけん
再建,さいけん
財源,ざいげん
在庫,ざいこ
採算,さいさん
採集,さいしゅう
サイズ,サイズ
再生,さいせい
財政,ざいせい
最善,さいぜん
採択,さいたく
栽培,さいばい
再発,さいはつ
細胞,さいぼう
採用,さいよう
遮る,さえぎる
囀る,さえずる
冴える,さえる
竿,さお
栄える,さかえる
差額,さがく
杯,さかずき
逆立ち,さかだち
遡る,さかのぼる
盛る,さかる
下がる,さがる
詐欺,さぎ
先に,さきに
柵,さく
策,さく
削減,さくげん
削減,さくげん
錯誤,さくご
作戦,さくせん
作物,さくぶつ
叫び,さけび
捧げる,ささげる
些事,さじ
差し掛かる,さしかかる
指図,さしず
差し出す,さしだす
差し支える,さしつかえる
差し引く,さしひく
授ける,さずける
嘸,さぞ
定まる,さだまる
定める,さだめる
定める,さだめる
座談会,ざだんかい
冊,さつ
雑,ざつ
錯覚,さっかく
早急,さっきゅう
殺人,さつじん
察する,さっする
雑談,ざつだん
颯と,さっと
偖,さて
悟る,さとる
裁く,さばく
錆,さび
座標,ざひょう
然程,さほど
サボる,サボる
様,さま
寒気,さむけ
侍,さむらい
然も,さも
左様なら,さようなら
爽やか,さわやか
障る,さわる
障る,さわる
さん,さん
サン,サン
三,さん
酸,さん
酸化,さんか
山岳,さんがく
サンキュー,サンキュー
産休,さんきゅう
残金,ざんきん
産後,さんご
残酷,ざんこく
産出,さんしゅつ
参照,さんしょう
参上,さんじょう
賛成,さんせい
残高,ざんだか
サンタクロース,サンタクロース
桟橋,さんばし
賛美,さんび
賛美,さんび
山腹,さんぷく
産婦人科,さんふじんか
産物,さんぶつ
山脈,さんみゃく
死,し
秭,し
次,じ
シート,シート
Ｇパン,ジーパン
